topic_query,length_bucket,description_word_count,informative_score,view_count,views_per_day
climate policy,Long (10+ min),206.47,4.05,251209.84,2637.79
climate policy,Medium (4-10 min),139.0,3.0,102567.75,252.22
climate policy,Short (<4 min),117.92,2.46,25203.38,661.83
healthcare policy,Long (10+ min),205.0,4.0,232940.81,251.1
healthcare policy,Medium (4-10 min),141.27,2.47,739804.0,386.13
healthcare policy,Short (<4 min),152.67,2.67,949956.89,985.77
housing policy,Long (10+ min),184.68,3.42,271276.79,619.77
housing policy,Medium (4-10 min),183.0,2.71,605728.71,1477.97
housing policy,Short (<4 min),113.93,2.36,73730.57,2110.34
immigration policy,Long (10+ min),238.38,3.62,129736.54,2440.16
immigration policy,Medium (4-10 min),191.0,2.91,235754.91,640.22
immigration policy,Short (<4 min),170.75,2.75,74513.44,627.6
labor policy,Long (10+ min),328.43,3.86,193186.36,2205.03
labor policy,Medium (4-10 min),126.6,2.0,74562.0,579.87
labor policy,Short (<4 min),113.95,1.86,460064.19,655.37
