Location name,Amount spent (USD)
Alabama,52314895
Alaska,19731604
American Samoa,15092
Arizona,196426817
Arkansas,34139655
California,576650760
Colorado,105240305
Connecticut,47075808
Delaware,14517354
Florida,360003230
Georgia,212183721
Guam,515558
Hawaii,15026030
Idaho,22642182
Illinois,174217685
Indiana,75740500
Iowa,62968369
Kansas,38275874
Kentucky,57692606
Louisiana,59499826
Maine,40171918
Maryland,86375412
Massachusetts,88708448
Michigan,253161202
Minnesota,91531629
Mississippi,30290562
Missouri,76513480
Montana,33767390
Nebraska,26233772
Nevada,83249938
New Hampshire,34898368
New Jersey,126458886
New Mexico,33460663
New York,297801249
North Carolina,213670070
North Dakota,8046455
Northern Mariana Islands,15078
Ohio,178193023
Oklahoma,46102392
Oregon,67199017
Pennsylvania,307746441
Puerto Rico,1986967
Rhode Island,12963239
South Carolina,70880663
South Dakota,11122993
Tennessee,77910351
Texas,380577378
Unknown,17768609
Utah,37974378
Vermont,10282325
Virgin Islands (U.S.),70038
Virginia,145512609
Washington,99398121
"Washington, District of Columbia",30513445
West Virginia,28423544
Wisconsin,154278354
Wyoming,8834040
